table,sequence_id,column,datatype,description
,,,,
docde_bundle,1,id,int,
,,,,
brfss,1,id,int,
brfss,2,_state,int,State FIPS Code
brfss,3,fmonth,int,File Month
brfss,4,imonth,int,Interview Month
brfss,5,idate,int,Interview Date
brfss,6,iday,int,Interview Day
brfss,7,iyear,int,Interview Year
brfss,8,dispcode,int,Final Disposition
brfss,9,seqno,int,Annual Sequence Number
brfss,10,_psu,int,Primary Sampling Unit (Equal to Annual Sequence Number)
brfss,11,ctelenum,int,Correct Telephone Number?
brfss,12,pvtresd1,int,"Is this a private residence? [READ ONLY IF NECESSARY: “By private residence, we mean someplace like a house"
brfss,13,colghous,int,Do you live in college housing?
brfss,14,stateres,int,Do you reside in ____(state)____?
brfss,15,ladult,int,Are you 18 years of age or older?
brfss,16,numadult,int,Number of Adults in Household
brfss,17,nummen,int,Number of Adult Men in Household
brfss,18,numwomen,int,Number of Adult Women in Household
brfss,19,genhlth,int,Would you say that in general your health is:
brfss,20,physhlth,int,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past"
brfss,21,menthlth,int,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many"
brfss,22,poorhlth,int,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual"
brfss,23,hlthpln1,int,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government"
brfss,24,persdoc2,int,"Do you have one person you think of as your personal doctor or health care provider? (If ""No"" ask ""Is there more than"
brfss,25,medcost,int,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?
brfss,26,checkup1,int,About how long has it been since you last visited a doctor for a routine checkup? [A routine checkup is a general
brfss,27,exerany2,int,"During the past month, other than your regular job, did you participate in any physical activities or exercises such as"
brfss,28,sleptim1,int,"On average, how many hours of sleep do you get in a 24-hour period?"
brfss,29,cvdinfr4,int,"(Ever told) you had a heart attack, also called a myocardial infarction?"
brfss,30,cvdcrhd4,int,(Ever told) you had angina or coronary heart disease?
brfss,31,cvdstrk3,int,(Ever told) you had a stroke.
brfss,32,asthma3,int,(Ever told) you had asthma?
brfss,33,asthnow,int,Do you still have asthma?
brfss,34,chcscncr,int,(Ever told) you had skin cancer?
brfss,35,chcocncr,int,(Ever told) you had any other types of cancer?
